MapX,MapY,DataMapX,DataMapY,OutsiderRing,Bin,AxisPosX,AxisPosY,PosX,PosY,Similar,SizeX,sizeY
-4,-1,-4,-1,1,0,78.4866177399151,212.351118080139,0,0,1,3.865,3.46
-5,-1,-5,-1,1,0,82.3516184647076,212.351118080139,0,0,1,3.865,3.46
-6,-1,-6,-1,1,0,86.2166182358257,212.351118080139,0,0,1,3.865,3.46
-7,-1,-7,-1,1,0,90.0816180069439,212.351118080139,0,0,1,3.865,3.46
-8,-1,-8,-1,1,0,93.946617778062,212.351118080139,0,0,1,3.865,3.46
-9,-1,-9,-1,1,0,97.8116175491802,212.351118080139,0,0,1,3.865,3.46
-10,-1,-10,-1,1,0,101.676619227647,212.351118080139,0,0,1,3.865,3.46
-11,-1,-11,-1,1,0,105.541617091417,212.351118080139,0,0,1,3.865,3.46
-15,0,-15,0,1,0,120.998848175929,208.891118041992,0,0,1,3.865,3.46
-14,0,-14,0,1,0,117.133850312159,208.891118041992,0,0,1,3.865,3.46
-13,0,-13,0,1,0,113.268848633692,208.891118041992,0,0,1,3.865,3.46
-12,0,-12,0,1,0,109.403850769923,208.891118041992,0,0,1,3.865,3.46
-11,0,-11,0,2,0,105.538849091456,208.891118041992,0,0,1,3.865,3.46
-10,0,-10,0,2,0,101.673851227686,208.891118041992,0,0,1,3.865,3.46
-9,0,-9,0,2,0,97.8088495492196,208.891118041992,0,0,1,3.865,3.46
-8,0,-8,0,2,0,93.9438497781015,208.891118041992,0,0,1,3.865,3.46
-7,0,-7,0,2,0,90.0788500069833,208.891118041992,0,0,1,3.865,3.46
-6,0,-6,0,2,0,86.2138502358651,208.891118041992,0,0,1,3.865,3.46
-5,0,-5,0,2,0,82.348850464747,208.891118041992,0,0,1,3.865,3.46
-4,0,-4,0,2,0,78.4838497399545,208.891118041992,0,0,1,3.865,3.46
-3,0,-3,0,1,0,74.6188499688363,208.891118041992,0,0,1,3.865,3.46
-2,0,-2,0,1,0,70.753849720881,208.891118041992,0,0,1,3.865,3.46
-1,0,-1,0,1,0,66.8888497113442,208.891118041992,0,0,1,3.865,3.46
0,0,0,0,1,0,63.0238497018075,208.891118041992,0,0,1,3.865,3.46
3,1,3,1,1,0,51.4260814348181,205.431118003845,0,0,1,3.865,3.46
2,1,2,1,1,0,55.2910816827734,205.431118003845,0,0,1,3.865,3.46
1,1,1,1,1,0,59.1560816923102,205.431118003845,0,0,1,3.865,3.46
0,1,0,1,2,0,63.0210817018469,205.431118003845,0,0,1,3.865,3.46
-1,1,-1,1,2,0,66.8860817113837,205.431118003845,0,0,1,3.865,3.46
-2,1,-2,1,2,0,70.7510817209204,205.431118003845,0,0,1,3.865,3.46
-3,1,-3,1,2,0,74.6160819688757,205.431118003845,0,0,1,3.865,3.46
-4,1,-4,1,3,0,78.4810817399939,205.431118003845,0,0,1,3.865,3.46
-5,1,-5,1,3,0,82.3460824647864,205.431118003845,0,0,1,3.865,3.46
-6,1,-6,1,3,0,86.2110822359045,205.431118003845,0,0,1,3.865,3.46
-7,1,-7,1,3,0,90.0760820070227,205.431118003845,0,0,1,3.865,3.46
-8,1,-8,1,3,0,93.9410817781409,205.431118003845,0,0,1,3.865,3.46
-9,1,-9,1,3,0,97.806081549259,205.431118003845,0,0,1,3.865,3.46
-10,1,-10,1,3,0,101.671083227726,205.431118003845,0,0,1,3.865,3.46
-11,1,-11,1,3,0,105.536081091495,205.431118003845,0,0,1,3.865,3.46
-12,1,-12,1,2,0,109.401082769962,205.431118003845,0,0,1,3.865,3.46
-13,1,-13,1,2,0,113.266080633732,205.431118003845,0,0,1,3.865,3.46
-14,1,-14,1,2,0,117.131082312198,205.431118003845,0,0,1,3.865,3.46
-15,1,-15,1,2,0,120.996080175968,205.431118003845,0,0,1,3.865,3.46
-16,1,-16,1,1,0,124.861081854435,205.431118003845,0,0,1,3.865,3.46
-17,1,-17,1,1,0,128.726083532902,205.431118003845,0,0,1,3.865,3.46
-18,1,-18,1,1,0,132.591081396671,205.431118003845,0,0,1,3.865,3.46
-19,2,-19,2,1,0,136.45331126048,201.971117965698,0,0,1,3.865,3.46
-18,2,-18,2,2,0,132.588313396711,201.971117965698,0,0,1,3.865,3.46
-17,2,-17,2,2,0,128.723315532941,201.971117965698,0,0,1,3.865,3.46
-16,2,-16,2,2,0,124.858313854474,201.971117965698,0,0,1,3.865,3.46
-15,2,-15,2,3,0,120.993312176007,201.971117965698,0,0,1,3.865,3.46
-14,2,-14,2,3,0,117.128314312238,201.971117965698,0,0,1,3.865,3.46
-13,2,-13,2,3,0,113.263312633771,201.971117965698,0,0,1,3.865,3.46
-12,2,-12,2,3,0,109.398314770002,201.971117965698,0,0,1,3.865,3.46
-11,2,-11,2,4,0,105.533313091535,201.971117965698,0,0,1,3.865,3.46
-10,2,-10,2,4,0,101.668315227765,201.971117965698,0,0,1,3.865,3.46
-9,2,-9,2,4,0,97.8033135492984,201.971117965698,0,0,1,3.865,3.46
-8,2,-8,2,4,0,93.9383137781803,201.971117965698,0,0,1,3.865,3.46
-7,2,-7,2,4,0,90.0733140070621,201.971117965698,0,0,1,3.865,3.46
-6,2,-6,2,4,0,86.2083142359439,201.971117965698,0,0,1,3.865,3.46
-5,2,-5,2,4,0,82.3433144648258,201.971117965698,0,0,1,3.865,3.46
-4,2,-4,2,4,0,78.4783137400333,201.971117965698,0,0,1,3.865,3.46
-3,2,-3,2,3,0,74.6133139689151,201.971117965698,0,0,1,3.865,3.46
-2,2,-2,2,3,0,70.7483137209598,201.971117965698,0,0,1,3.865,3.46
-1,2,-1,2,3,0,66.8833137114231,201.971117965698,0,0,1,3.865,3.46
0,2,0,2,3,0,63.0183137018863,201.971117965698,0,0,1,3.865,3.46
1,2,1,2,2,0,59.1533136923496,201.971117965698,0,0,1,3.865,3.46
2,2,2,2,2,0,55.2883136828128,201.971117965698,0,0,1,3.865,3.46
3,2,3,2,2,0,51.4233134348575,201.971117965698,0,0,1,3.865,3.46
4,2,4,2,1,0,47.5583136637393,201.971117965698,0,0,1,3.865,3.46
5,3,5,3,1,0,43.6905449389863,198.511117927551,0,0,1,3.865,3.46
4,3,4,3,2,0,47.5555456637788,198.511117927551,0,0,1,3.865,3.46
3,3,3,3,3,0,51.4205454348969,198.511117927551,0,0,1,3.865,3.46
2,3,2,3,3,0,55.2855456828522,198.511117927551,0,0,1,3.865,3.46
