MapX,MapY,DataMapX,DataMapY,OutsiderRing,Bin,AxisPosX,AxisPosY,PosX,PosY,Similar,SizeX,sizeY
-8,-44,-8,-44,0,1,-28.232,-139.656,-28.232,-139.656,1,3.529,3.174
-7,-44,-7,-44,0,1,-24.703,-139.656,-24.703,-139.656,1,3.529,3.174
-6,-44,-6,-44,0,1,-21.174,-139.656,-21.174,-139.656,1,3.529,3.174
-5,-44,-5,-44,0,1,-17.645,-139.656,-17.645,-139.656,1,3.529,3.174
-4,-44,-4,-44,0,1,-14.116,-139.656,-14.116,-139.656,1,3.529,3.174
-3,-44,-3,-44,0,1,-10.587,-139.656,-10.587,-139.656,1,3.529,3.174
-2,-44,-2,-44,0,1,-7.058,-139.656,-7.058,-139.656,1,3.529,3.174
-1,-44,-1,-44,0,1,-3.529,-139.656,-3.529,-139.656,1,3.529,3.174
0,-44,0,-44,0,1,0,-139.656,0,-139.656,1,3.529,3.174
-8,-43,-8,-43,0,1,-28.232,-136.482,-28.232,-136.482,1,3.529,3.174
-7,-43,-7,-43,0,1,-24.703,-136.482,-24.703,-136.482,1,3.529,3.174
-6,-43,-6,-43,0,1,-21.174,-136.482,-21.174,-136.482,1,3.529,3.174
-5,-43,-5,-43,0,1,-17.645,-136.482,-17.645,-136.482,1,3.529,3.174
-4,-43,-4,-43,0,1,-14.116,-136.482,-14.116,-136.482,1,3.529,3.174
-3,-43,-3,-43,0,1,-10.587,-136.482,-10.587,-136.482,1,3.529,3.174
-2,-43,-2,-43,0,1,-7.058,-136.482,-7.058,-136.482,1,3.529,3.174
-1,-43,-1,-43,0,1,-3.529,-136.482,-3.529,-136.482,1,3.529,3.174
0,-43,0,-43,0,1,0,-136.482,0,-136.482,1,3.529,3.174
-8,-42,-8,-42,0,1,-28.232,-133.308,-28.232,-133.308,1,3.529,3.174
-7,-42,-7,-42,0,1,-24.703,-133.308,-24.703,-133.308,1,3.529,3.174
-6,-42,-6,-42,0,1,-21.174,-133.308,-21.174,-133.308,1,3.529,3.174
-5,-42,-5,-42,0,1,-17.645,-133.308,-17.645,-133.308,1,3.529,3.174
-4,-42,-4,-42,0,1,-14.116,-133.308,-14.116,-133.308,1,3.529,3.174
-3,-42,-3,-42,0,1,-10.587,-133.308,-10.587,-133.308,1,3.529,3.174
-2,-42,-2,-42,0,1,-7.058,-133.308,-7.058,-133.308,1,3.529,3.174
-1,-42,-1,-42,0,1,-3.529,-133.308,-3.529,-133.308,1,3.529,3.174
0,-42,0,-42,0,1,0,-133.308,0,-133.308,1,3.529,3.174
-14,-41,-14,-41,0,1,-49.406,-130.134,-49.406,-130.134,1,3.529,3.174
-13,-41,-13,-41,0,1,-45.877,-130.134,-45.877,-130.134,1,3.529,3.174
-12,-41,-12,-41,0,1,-42.348,-130.134,-42.348,-130.134,1,3.529,3.174
-11,-41,-11,-41,0,1,-38.819,-130.134,-38.819,-130.134,1,3.529,3.174
-10,-41,-10,-41,0,1,-35.29,-130.134,-35.29,-130.134,1,3.529,3.174
-9,-41,-9,-41,0,1,-31.761,-130.134,-31.761,-130.134,1,3.529,3.174
-8,-41,-8,-41,0,1,-28.232,-130.134,-28.232,-130.134,1,3.529,3.174
-7,-41,-7,-41,0,1,-24.703,-130.134,-24.703,-130.134,1,3.529,3.174
-6,-41,-6,-41,0,1,-21.174,-130.134,-21.174,-130.134,1,3.529,3.174
-5,-41,-5,-41,0,1,-17.645,-130.134,-17.645,-130.134,1,3.529,3.174
-4,-41,-4,-41,0,1,-14.116,-130.134,-14.116,-130.134,1,3.529,3.174
-3,-41,-3,-41,0,1,-10.587,-130.134,-10.587,-130.134,1,3.529,3.174
-2,-41,-2,-41,0,1,-7.058,-130.134,-7.058,-130.134,1,3.529,3.174
-1,-41,-1,-41,0,1,-3.529,-130.134,-3.529,-130.134,1,3.529,3.174
0,-41,0,-41,0,1,0,-130.134,0,-130.134,1,3.529,3.174
1,-41,1,-41,0,1,3.529,-130.134,3.529,-130.134,1,3.529,3.174
2,-41,2,-41,0,1,7.058,-130.134,7.058,-130.134,1,3.529,3.174
3,-41,3,-41,0,1,10.587,-130.134,10.587,-130.134,1,3.529,3.174
4,-41,4,-41,0,1,14.116,-130.134,14.116,-130.134,1,3.529,3.174
5,-41,5,-41,0,1,17.645,-130.134,17.645,-130.134,1,3.529,3.174
6,-41,6,-41,0,1,21.174,-130.134,21.174,-130.134,1,3.529,3.174
-15,-40,-15,-40,0,1,-52.935,-126.96,-52.935,-126.96,1,3.529,3.174
-14,-40,-14,-40,0,1,-49.406,-126.96,-49.406,-126.96,1,3.529,3.174
-13,-40,-13,-40,0,1,-45.877,-126.96,-45.877,-126.96,1,3.529,3.174
-12,-40,-12,-40,0,1,-42.348,-126.96,-42.348,-126.96,1,3.529,3.174
-11,-40,-11,-40,0,1,-38.819,-126.96,-38.819,-126.96,1,3.529,3.174
